,time,gait,gazebo_r,gazebo_p,gazebo_y,gazebo_x,gazebo_y,gazebo_z,gazebo_wx,gazebo_wy,gazebo_wz,gazebo_vx,gazebo_vy,gazebo_vz,r,p,y,x,y,z,wx,wy,wz,vx,vy,vz
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005761618515951538,0.008262027984966072,0.08524302140227318,0.0,0.0,0.0,-0.02649178117665121,-0.0911081572128892,0.37832436904334077
2,4.275,0.0,0.0006832530487325342,0.0031988145804327075,-0.0015215780757546528,-0.0003902750316727467,-0.0007242012885904647,0.06749841539687043,0.0005920887997194033,0.03672092894410494,0.0016104505885338922,-0.039027503167272035,-0.07242012885904159,0.5715353209346334,0.0006832530487325342,0.0031988145804327075,-0.0015215780757546528,-0.006086912367789182,0.00715867285122887,0.08991315211623056,0.0005920887997194033,0.03672092894410494,0.0016104505885338922,-0.028636149828838723,-0.10330381834550618,0.3998978164858897
3,4.285,0.0,0.0006790496276378268,0.00359438181792692,-0.001509679419653231,-0.0007568452061191902,-0.0014934138193794938,0.07269830869025912,-0.001458618680688388,0.041130960269598935,0.001565380996767215,-0.037842260305958636,-0.07467069096897297,0.5457623251367577,0.0006790496276378268,0.00359438181792692,-0.001509679419653231,-0.006378170239078574,0.006125160443004354,0.09399472386136644,-0.001458618680688388,0.041130960269598935,0.001565380996767215,-0.03027506232814382,-0.1139530501255231,0.41660671469912547
4,4.295,0.0,0.0006530627073189861,0.004037346457918352,-0.001496623594498483,-0.0007246347846100142,-0.0014916229370302986,0.07269999846275096,-0.003498773526217196,0.04573499773340421,0.0016525454318165665,-0.024154492820333606,-0.049720764567676205,0.3638978758409054,0.0006530627073189861,0.004037346457918352,-0.001496623594498483,-0.006686573657309835,0.004984797139891072,0.09823650183838593,-0.003498773526217196,0.04573499773340421,0.0016525454318165665,-0.031992051231105344,-0.12484702520162884,0.43216758026730806
5,4.305,0.0,0.0006009922665395202,0.004533247148941096,-0.0014809218372622565,-0.0011539461955440249,-0.0024892113554133982,0.07860784426147921,-0.006173859892993009,0.05215586389536868,0.0016929293154854556,-0.028848654888600597,-0.0622302838853349,0.42061955184888705,0.0006009922665395202,0.004533247148941096,-0.0014809218372622565,-0.007009783092496224,0.003740437660318173,0.10262558252980593,-0.006173859892993009,0.05215586389536868,0.0016929293154854556,-0.03343610698485594,-0.13599830054584877,0.4465757778085865
6,4.315,0.0,0.0005246488887633961,0.005102442216282858,-0.0014660635436451652,-0.0016147123971524055,-0.0036639673396393624,0.08455510766852563,-0.009169153329733245,0.05994507024442287,0.0020163346523156154,-0.030610934136991442,-0.07349415127622237,0.4264173067913795,0.0005246488887633961,0.005102442216282858,-0.0014660635436451652,-0.007345750517214213,0.002394730324499425,0.10715139609199718,-0.009169153329733245,0.05994507024442287,0.0020163346523156154,-0.03478557460483336,-0.1460452329831643,0.45987000733346567
7,4.326,0.0,0.0004165302171141315,0.00574981340879846,-0.0014490984566582778,-0.002112177869248201,-0.0050164982205609734,0.09081689347129782,-0.012508549829923941,0.06811309767452638,0.001978132918805064,-0.03305689422265922,-0.08592888783369572,0.44191670197655925,0.0004165302171141315,0.00574981340879846,-0.0014490984566582778,-0.0077325263667202306,0.0007776297447882578,0.11227989902572148,-0.012508549829923941,0.06811309767452638,0.001978132918805064,-0.03616445739223691,-0.15761913174856812,0.4733247198367196
8,4.335,0.0,0.0002717446432898429,0.006496416821109889,-0.0014327171996674922,-0.002650264202904845,-0.006558270013770219,0.09741206904362765,-0.0159900292576194,0.07824424234946421,0.0018972797107504446,-0.04814073545737073,-0.1266661769184979,0.6178017645219165,0.0002717446432898429,0.006496416821109889,-0.0014327171996674922,-0.00805780462270831,-0.0006400613104744044,0.11658102266859761,-0.0159900292576194,0.07824424234946421,0.0018972797107504446,-0.034985897619639376,-0.1652283519412467,0.4839273070167379
9,4.345,0.0,9.827373183803768e-05,0.007107860318997552,-0.0014150597052021588,-0.0025905752184893598,-0.006541563586129867,0.09741647161179647,-0.01834345502955409,0.05288355702335777,0.0024565990821529392,-0.03591572557363334,-0.10130880576791164,0.470215683757931,9.827373183803768e-05,0.007107860318997552,-0.0014150597052021588,-0.008319853190412896,-0.0021702127436274473,0.12149006954400517,-0.01834345502955409,0.05288355702335777,0.0024565990821529392,-0.021438387345852093,-0.1534449566571787,0.4982452275536664
